OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
92251,245,50$ to 200$,2/25/2014,18:00,D140020116A,600 W 10TH ST,DT10,186725.75,1651299.83
92252,245,50$ to 200$,3/12/2014,11:40,D140025627A,1260 SHELBY ST,SE10,195033.63,1640024.12
92253,245,50$ to 200$,3/28/2014,11:22,D140032122A,52 N HAMILTON AV,NE20,199105.26,1646625.95
92254,245,50$ to 200$,4/2/2014,22:00,D140034683A,952 N LASALLE ST,NE20,203528.66,1651049.76
92255,245,50$ to 200$,4/3/2014,22:00,D140034828A,611 N CAPITOL AVE,DT10,189051.67,1649453.91
92256,245,50$ to 200$,4/5/2014,12:00,D140045547A,451 E MARKET ST,DT20,192257.6,1646659.54
92257,245,50$ to 200$,4/6/2014,18:00,D140039766A,9519 CONRIED DR,NE70,234440.47,1669282.97
92258,245,50$ to 200$,4/10/2014,13:52,D140037338A,322 N DREXEL AV,NE50,208678.37,1648121.62
92259,245,50$ to 200$,4/16/2014,22:42,D140040150A,210 E MICHIGAN ST,DT20,191143.65,1648770.23
92260,245,50$ to 200$,4/18/2014,13:00,D140044134A,525 SUTHERLAND AVE,NE10,192532.87,1659745.61
92261,245,50$ to 200$,4/22/2014,7:00,D140041843A,520 E MARKET ST,DT20,192734.51,1646798.38
92262,245,50$ to 200$,4/22/2014,9:30,D140042278A,3757 CAROLINE AV,ND20,199137.58,1667190.93
92263,245,50$ to 200$,4/22/2014,14:11,D140041986A,8156 E 36TH,NE70,227781.03,1666007.02
92264,245,50$ to 200$,4/25/2014,13:17,D140043164A,9945 E 21ST ST,NE60,236797.45,1656866.75
92265,245,50$ to 200$,4/25/2014,17:10,D140045679A,514 S WARMAN AVE,SW10,176321.21,1643591.88
92266,245,50$ to 200$,4/29/2014,8:30,D140044595A,OLIVE & PROSPECT ST,SE10,195559.65,1640831.05
92267,245,50$ to 200$,5/12/2014,99:99,D140049659A,1718 NELSON AV,SE20,197794.56,1632167.5
92268,245,50$ to 200$,5/14/2014,2:00,D140052487A,310 W MICHIGAN ST,DT10,188450.09,1648864.91
92269,245,50$ to 200$,5/14/2014,18:11,D140050674A,454 E STOP 11 RD,SE50,191934.83,1603822.79
92270,245,50$ to 200$,5/15/2014,99:99,D140052073A,5158 E 21ST ST,NE30,211470.66,1656766.24
92271,245,50$ to 200$,5/18/2014,15:15,D140052000A,3361 KENTUCKY AV,SW70,168088.21,1627598.28
92272,245,50$ to 200$,5/20/2014,19:00,D140056847A,1337 S RICHLAND ST,SW20,180789.69,1639423.3
92273,245,50$ to 200$,5/23/2014,1:00,D140053833A,1064 W 36TH ST,NW10,183962.77,1664606.85
92274,245,50$ to 200$,5/23/2014,15:29,D140060466A,2913 E HANNA AVE,SE30,202668.19,1624850.48
92275,245,50$ to 200$,5/23/2014,20:06,D140054124A,1061 N TREMONT ST,SW10,177985.38,1651656.43
92276,245,50$ to 200$,5/24/2014,1:01,D140054241A,3731 STATION ST,ND20,205176.87,1666927.44
92277,245,50$ to 200$,5/25/2014,8:27,D140054628A,1602 S EAST ST,SE20,192234.95,1638331.69
92278,245,50$ to 200$,5/29/2014,10:00,D140056374A,2257 S PARKER AV,SE20,202550.87,1635034.66
92279,245,50$ to 200$,5/29/2014,99:99,D140057727A,135 W MARKET ST,DT10,189273.86,1646757.88
92280,245,50$ to 200$,5/30/2014,11:36,D140056564A,5349 PIKE PLAZA RD,NW30,163442.61,1668453.81
92281,245,50$ to 200$,5/30/2014,11:47,D140056590A,5443 E 19TH ST,NE30,213047.04,1655640.1
92282,245,50$ to 200$,5/31/2014,12:30,D140056999A,8954 BECKFORD DR,SW80,144250.05,1648163.44
92283,245,50$ to 200$,5/31/2014,14:06,D140057018A,1269 OLIVER AVE,SW20,183159.99,1643182.54
92284,245,50$ to 200$,5/31/2014,18:57,D140057106A,3217 WINTON AVE,NW30,165317.77,1663418.56
92285,245,50$ to 200$,6/2/2014,17:08,D140057803A,4401 E 10TH ST,NE50,207562.9,1650904.26
92286,245,50$ to 200$,6/2/2014,20:00,D140057923A,1215 N ARSENAL AV,NE20,196929.3,1652060.5
92287,245,50$ to 200$,6/3/2014,20:00,D140059079A,3539 PAYTON AVE,NE30,225454.28,1665847.77
92288,245,50$ to 200$,6/4/2014,17:56,D140058680A,6051 BEACHVIEW DR,SW60,159662.5,1649510.67
92289,245,50$ to 200$,6/5/2014,2:38,D140058805A,E 10TH ST & N GRANT,NE50,206805.63,1651370.84
92290,245,50$ to 200$,6/6/2014,10:00,D140059323A,770 N HIGH SCHOOL RD,SW80,158239.37,1649386.81
92291,245,50$ to 200$,6/6/2014,18:37,D140078226A,6743 W MORRIS ST,SW80,156155.23,1640166.11
92292,245,50$ to 200$,6/7/2014,17:00,D140061391A,6329 MOSPORT CT,NW70,157908.37,1657288.02
92293,245,50$ to 200$,6/7/2014,21:20,D140059882A,1 N MERIDIAN ST,DT20,190006.02,1646347.31
92294,245,50$ to 200$,6/8/2014,17:05,D140060100A,6108 E 46TH ST,ND30,217098.46,1672815.56
92295,245,50$ to 200$,6/8/2014,18:00,D140060549A,302 S ALABAMA ST,DT40,191416.11,1644634.33
92296,245,50$ to 200$,6/9/2014,21:00,D140067689A,940 W 10TH ST,DT10,185408.85,1651293.83
92297,245,50$ to 200$,6/10/2014,16:10,D140060902A,1440 E 86TH ST,ND70,196674.78,1699181.96
92298,245,50$ to 200$,6/11/2014,14:00,D140061413A,2030 COUNTRY JCTN,NW70,148301.21,1655765.27
92299,245,50$ to 200$,6/12/2014,21:30,D140061892A,23 N RURAL ST,NE20,201833.58,1646939.97
92300,245,50$ to 200$,6/15/2014,16:44,D140062891A,2931 ARTHINGTON BL,NE30,208848.48,1661632.82
92301,245,50$ to 200$,6/16/2014,13:08,D140063181A,3540 W 10TH ST,SW10,172597.48,1651226.53
92302,245,50$ to 200$,6/16/2014,18:01,D140063293A,1205 S LYNHURST DR,SW60,164031.44,1640325.08
92303,245,50$ to 200$,6/17/2014,6:54,D140063447A,4402 E MICHIGAN ST,NE50,208049.9,1649022.73
92304,245,50$ to 200$,6/17/2014,18:14,D140063736A,1 S STATE AVE,SE10,197675.68,1646267.03
92305,245,50$ to 200$,6/19/2014,8:00,D140064846A,9371 NOTRE DAME DR,ND70,194369.56,1703260.07
92306,245,50$ to 200$,6/19/2014,12:30,D140064605A,416 N RILEY AV,NE50,210114.37,1648589.07
92307,245,50$ to 200$,6/19/2014,22:10,D140064642A,2642 S LYONS AV,SW60,168638,1631788.97
