OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,,X_COORD,Y_COORD
45709,235,Over 200$,8/10/2008,12:50,080126284I,04445 E 10TH ST,NE51,NE,51,,208146.31,1651356.25
45710,235,Over 200$,8/10/2008,18:00,080126399I,04074 BROADWAY ST,ND43,ND,43,,193367.2,1669146.9
45711,235,Over 200$,8/13/2008,0:43,080127744I,05520 N COLLEGE AV,ND53,ND,53,,193529.44,1677503.92
45712,235,Over 200$,8/13/2008,18:00,080128258I,00500 E WALNUT ST,DT22,DT,22,,192618.26,1649696.72
45713,235,Over 200$,8/15/2008,19:45,080121065J,KAPPES ST & W MORRIS ST,SW22,SW,22,,179705.84,1640454.02
45714,235,Over 200$,8/16/2008,0:01,080131428I,02831 HALIFAX DR,NW22,NW,22,,175982.37,1660718.88
45715,235,Over 200$,8/18/2008,15:45,080131115I,00846 WOODRUFF PL MID DR,NE22,NE,22,,198272.46,1650594.11
45716,235,Over 200$,8/19/2008,15:00,080131574I,00336 BURGESS AV,NE54,NE,54,,214101.42,1645094.56
45717,235,Over 200$,8/20/2008,0:01,080141630I,03708 ROCKVILLE RD,SW61,SW,61,,171296.71,1644806.78
45718,235,Over 200$,8/21/2008,17:30,080133007I,06074 E 9TH ST,NE65,NE,65,,216841.99,1650496.84
45719,235,Over 200$,8/25/2008,16:56,080135190I,01236 E 16TH ST,NE12,NE,12,,195769.18,1654027.78
45720,235,Over 200$,8/25/2008,19:00,080134771I,07529 CARLTON ARMS DR,ND63,ND,63,,221837.23,1691356.19
45721,235,Over 200$,8/27/2008,17:50,080136492I,05452 MADISON AV,SE51,SE,51,,196310.57,1617077.46
45722,235,Over 200$,8/29/2008,19:00,080138785I,01335 SADDLEBROOK CT E,ND74,ND,74,,183265.83,1682076.81
45723,235,Over 200$,9/1/2008,9:15,080139116I,00401 E MICHIGAN ST,DT21,DT,21,,192073.71,1648699.29
45724,235,Over 200$,9/5/2008,17:30,080141863I,06417 PARK CENTRAL DR W,ND74,ND,74,,184313.23,1684754.89
45725,235,Over 200$,9/6/2008,13:00,080142265I,05333 W WASHINGTON ST,SW62,SW,62,,163686.41,1641056.52
45726,235,Over 200$,9/7/2008,20:00,080142944I,00340 RODEO DR,SW74,SW,74,,187829.21,1599179.09
45727,235,Over 200$,9/8/2008,13:00,080143331I,00001 N MERIDIAN ST,DT31,DT,31,,189961.55,1646232.39
45728,235,Over 200$,9/8/2008,21:00,080143656I,03225 CATSPRING CR,SW64,SW,64,,167199.58,1627906.39
45729,235,Over 200$,9/10/2008,12:40,080144460I,02300 SOUTHEASTERN AV,SE12,SE,12,,199540.65,1644366.73
45730,235,Over 200$,9/11/2008,21:00,080145911I,06749 EVERBLOOM LN,SW73,SW,73,,175494.27,1609871.88
45731,235,Over 200$,9/13/2008,19:09,080146420I,04060 W VERMONT ST,SW11,SW,11,,169824.43,1648079
45732,235,Over 200$,9/14/2008,18:00,080148104I,04742 WENTWORTH BL,SE13,SE,13,,209282.15,1643942.89
45733,235,Over 200$,9/15/2008,20:00,080160609I,06662 BLACK ANTLER CR,SW73,SW,73,,177328.72,1610482.03
45734,235,Over 200$,9/16/2008,6:35,080148008I,08414 BECKS MILL LN,SW71,SW,71,,143413.72,1600621.81
45735,235,Over 200$,9/16/2008,23:59,080155819I,05720 RAHKE RD,SW73,SW,73,,186952.23,1615586.47
45736,235,Over 200$,9/18/2008,12:20,080149168I,00935 BROADWAY ST,DT22,DT,22,,193278.76,1651024.42
45737,235,Over 200$,9/18/2008,14:45,080149256I,01801 E 86TH ST,ND72,ND,72,,198135.69,1699134.25
45738,235,Over 200$,9/19/2008,19:57,080150045I,08321 COUNTRY MEADOWS DR,NW73,NW,73,,147856.49,1655108.53
45739,235,Over 200$,9/20/2008,12:00,080150830I,03620 SPANN AV,SE13,SE,13,,204957.51,1643255.85
45740,235,Over 200$,9/21/2008,17:00,080150984I,02931 KENTUCKY AV,SW21,SW,21,,172362.71,1630097.83
45741,235,Over 200$,9/22/2008,21:30,080152961I,00316 S COLLEGE AV,DT32,DT,32,,193355.56,1644358.01
45742,235,Over 200$,9/23/2008,0:01,080151857I,00627 N PENNSYLVANIA ST,DT21,DT,21,,190589.15,1649566.96
45743,235,Over 200$,9/25/2008,18:00,080154022I,00402 N MERIDIAN ST,DT13,DT,13,,189996.69,1648310.67
45744,235,Over 200$,9/27/2008,0:01,080158142I,08113 MC FARLAND RD,SE54,SE,54,,202962.76,1602970.12
45745,235,Over 200$,9/27/2008,2:00,080154591I,03757 N CAPITOL AV,ND12,ND,12,,189112.34,1666977.89
45746,235,Over 200$,9/27/2008,18:24,080154741I,03950 WINTHROP AV,ND43,ND,43,,194839.19,1668327.98
45747,235,Over 200$,10/3/2008,12:00,080159329I,00709 HAUGH ST,SW11,SW,11,,176075.93,1649865.02
45748,235,Over 200$,10/4/2008,12:00,080159499I,02200 E 10TH ST,NE21,NE,21,,199621.6,1651385.22
45749,235,Over 200$,10/5/2008,0:22,080158975I,00835 BROADWAY ST,DT22,DT,22,,193259.87,1650526
45750,235,Over 200$,10/6/2008,17:00,080159930I,08902 E 38TH ST,NE71,NE,71,,231144.31,1667532.39
45751,235,Over 200$,10/7/2008,19:00,080163523I,03000 SOUTHEASTERN AV,SE12,SE,12,,202657.12,1643330.79
45752,235,Over 200$,10/18/2008,16:10,080167539I,00056 S IRVINGTON AV,NE54,NE,54,,213134.27,1647065.52
45753,235,Over 200$,10/22/2008,14:00,080168973I,03445 N PENNSYLVANIA ST,ND13,ND,13,,191093.42,1664926.02
45754,235,Over 200$,10/24/2008,16:45,080170101I,00402 N MERIDIAN ST,DT13,DT,13,,189996.69,1648310.67
45755,235,Over 200$,10/25/2008,17:00,080170579I,01770 S HAWTHORNE LN,SE41,SE,41,,212557.93,1637701.97
45756,235,Over 200$,11/1/2008,19:30,080174772I,00230 E 9TH ST,DT21,DT,21,,191267.78,1650601.65
45757,235,Over 200$,11/2/2008,0:01,080175350I,00327 W SOUTHERN AV,SW23,SW,23,,188015.14,1632601.12
45758,235,Over 200$,11/3/2008,13:10,080175331I,00400 N MERIDIAN ST,DT13,DT,13,,189996.03,1648290.44
45759,235,Over 200$,11/5/2008,15:45,083102954I,00049 W MARYLAND ST,DT32,DT,32,,189671.4,1645695.63
45760,235,Over 200$,11/6/2008,13:00,080177067I,05739 ROSSLYN AV,ND51,ND,51,,196922.05,1679198.26
45761,235,Over 200$,11/6/2008,18:51,080177300I,00320 N NEW JERSEY ST,DT21,DT,21,,192016.42,1647815.24
45762,235,Over 200$,11/7/2008,11:00,080177814I,04145 NEWBURGH DR,NE73,NE,73,,238685.19,1669959.25
45763,235,Over 200$,11/11/2008,0:01,080800135I,00750 W HAMPTON DR,ND42,ND,42,,185927.18,1671616
45764,235,Over 200$,11/11/2008,17:30,080179887I,00300 N MERIDIAN ST,DT13,DT,13,,189975.69,1647776.35
45765,235,Over 200$,11/19/2008,16:50,080184104I,00400 N MERIDIAN ST,DT13,DT,13,,189996.03,1648290.44
45766,235,Over 200$,11/22/2008,8:00,080185549I,03400 CENTRAL AV,ND13,ND,13,,192381.96,1664625.46
45767,235,Over 200$,11/22/2008,22:00,080185963I,00825 LOCKEFIELD ST,DT11,DT,11,,185824.81,1650357.63
45768,235,Over 200$,11/28/2008,12:00,080190771I,07802 BROOKVILLE RD,NE64,NE,64,,226078.52,1640074.71
45769,235,Over 200$,11/30/2008,9:00,080190322I,00319 N WEST ST,DT13,DT,13,,187488.66,1647957.15
45770,235,Over 200$,12/11/2008,3:30,080195043I,04411 E 21ST ST,NE31,NE,31,,207875.41,1656715.29
45771,235,Over 200$,12/14/2008,0:01,080197376I,02845 S ILLINOIS ST,SW23,SW,23,,189337.74,1631503.01
55045,245,50$ to 200$,12/19/2007,8:00,080029905I,05874 TRAFALGER LN,SW61,SW,61,,160417.6,1648452.2
55046,245,50$ to 200$,1/7/2008,12:40,080003301I,00810 N GRAY ST,NE24,NE,24,,202940.29,1650045.5
55047,245,50$ to 200$,1/7/2008,23:30,080003848I,02505 S CONCORD ST,SW21,SW,21,,175026.54,1632209.58
55048,245,50$ to 200$,1/16/2008,17:00,080009396I,02829 DENISON ST,SW64,SW,64,,167273.14,1630484.21
55049,245,50$ to 200$,1/26/2008,11:30,080014127I,03419 S EAST ST,SE31,SE,31,,192427.74,1627874.48
